effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,slot,summary,defindex,usd_price,key_low,key_high,key_mid,item_type,has_price
99,Nebula,Captain Space Mann,706667.0,10000–14700 keys,misc,Level 1-100 Helmet,30646,21553.34,10000.0,14700.0,12350.0,cosmetic,True
99,Nebula,Corona Australis,177382.0,3100 keys,misc,Level 1-100 Cosmetic Augmentation,30648,5410.15,3100.0,3100.0,3100.0,cosmetic,True
99,Nebula,Universal Translator,29754.4,480–560 keys,misc,Level 1-100 Hat,30658,907.51,480.0,560.0,520.0,cosmetic,True
99,Nebula,Phononaut,21772.21,361–400 keys,misc,Level 1-100 Hat,30647,664.05,361.0,400.0,380.5,cosmetic,True
99,Nebula,A Head Full of Hot Air,6608.91,109–122 keys,misc,Level 1-100 Hat,30662,201.57,109.0,122.0,115.5,cosmetic,True
74,Spellbound,Antlers,938408.0,16400 keys,misc,Level 1-100 Cosmetic Item,993,28621.44,16400.0,16400.0,16400.0,cosmetic,True
74,Spellbound,Virtual Viewfinder,791066.5,12000–15650 keys,misc,Level 1-100 Headset,30140,24127.53,12000.0,15650.0,13825.0,cosmetic,True
74,Spellbound,Hong Kong Cone,786775.0,13750 keys,misc,Level 1-100 Hat,30177,23996.64,13750.0,13750.0,13750.0,cosmetic,True
74,Spellbound,Soldered Sensei,746721.0,13050 keys,misc,Level 1-100 Hat,30004,22774.99,13050.0,13050.0,13050.0,cosmetic,True
74,Spellbound,Patriot Peak,660891.0,11550 keys,misc,Level 1-100 Hat,30743,20157.18,11550.0,11550.0,11550.0,cosmetic,True
74,Spellbound,Crone's Dome,492092.0,8600 keys,misc,Level 1-100 Hat,920,15008.81,8600.0,8600.0,8600.0,cosmetic,True
74,Spellbound,War Pig,443455.0,7750 keys,misc,Level 1-100 Headgear,829,13525.38,7750.0,7750.0,7750.0,cosmetic,True
74,Spellbound,Chieftain's Challenge,329015.0,5750 keys,misc,Level 1-100 Hat,250,10034.96,5750.0,5750.0,5750.0,cosmetic,True
74,Spellbound,Pencil Pusher,314710.0,5500 keys,misc,Level 10 Hair,605,9598.66,5500.0,5500.0,5500.0,cosmetic,True
74,Spellbound,Salty Dog,311849.0,5450 keys,misc,Level 10 Hat,611,9511.39,5450.0,5450.0,5450.0,cosmetic,True
74,Spellbound,Polar Pullover,293424.16,5128 keys,misc,Level 1-100 Hat,30329,8949.44,5128.0,5128.0,5128.0,cosmetic,True
74,Spellbound,Minnesota Slick,287244.4,5020 keys,misc,Level 1-100 Hair,30315,8760.95,5020.0,5020.0,5020.0,cosmetic,True
