effect_name,unusuals,average_change,median_change,average_listing_change,increases,decreases,new,removed
'72,74,-0.01495479963853589,-0.012584207109980206,0.0,0,74,0,0
Abduction,6,-2.663447434827566,-0.5084019672431879,0.0,0,6,0,0
Abyssal Aura,43,-0.2699458753080424,-0.17114521669574145,0.0,0,43,0,0
Accursed,52,-0.11141863371990124,-0.05537051128391113,0.0,0,52,0,0
Aces High,486,-0.0849654074080943,-0.03649420061894304,0.0,0,486,0,0
Acidic Bubbles of Envy,51,-0.04008316713687757,-0.027685255641953788,0.0,0,51,0,0
Acidic Climate,40,-0.500190772103934,-0.35864990263443985,0.0,0,40,0,0
Aggradation,10,-0.20348662896837766,-0.0767636633708797,0.0,0,10,0,0
Amaranthine,172,-0.8128446661114499,-0.5562219542611331,0.0,0,172,0,0
Amatory,47,-0.023262040717342395,-0.015101048531977135,0.0,0,47,0,0
Amethyst Winds,34,-0.033758986191215146,-0.022651572797965258,0.0,0,34,0,0
Amplifying Aura,34,-0.05083279424954966,-0.030202097063951605,0.0,0,34,0,0
Amygdala,32,-0.15791213640664362,-0.0918647119028595,0.0,0,32,0,0
Analog Fortress,36,-0.09607692567161452,-0.07550524265987946,0.0,0,36,0,0
Ancient Codex,6,-0.7617640037241392,-0.33977359196945933,0.0,0,6,0,0
Ancient Eldritch,7,-0.31244788510207905,-0.22903256940163885,0.0,0,7,0,0
Ancient Specter,36,-0.24273537269917553,-0.13087575394379414,0.0,0,36,0,0
Anti-Freeze,218,-0.858877338975801,-0.4939301290666833,0.0,0,218,0,0
Apotheosis,50,-0.02995167134246432,-0.02296617797571443,0.0,0,50,0,0
Arachne's Web,68,-0.12279780335040325,-0.07487603230438111,0.0,0,68,0,0
Arachnid Assault,34,-0.016246581502723224,-0.011137023292333126,0.0,0,34,0,0
Arcana,175,-3.2567620334782688,-1.7617889953971826,0.0,0,175,0,0
Arcane Assistance,46,-0.05714871446249858,-0.033977359196947,0.0,0,46,0,0
Arctic Aurora,42,-0.051310606371050754,-0.041527883462934234,0.0,0,42,0,0
Arctic Delight,40,-0.029160753925602318,-0.021707757264715966,0.0,0,40,0,0
Ardent Antlers,34,-0.41265095608578833,-0.2491673007776143,0.0,0,34,0,0
Ardentum Saturnalis,6,-0.07089103338622404,-0.06166261483890523,0.0,0,6,0,0
Aromatica,9,-0.1606583774374132,-0.1283589125218043,0.0,0,9,0,0
Ascension,41,-0.03748098661549349,-0.027685255641953788,0.0,0,41,0,0
Astral Presence,44,-0.020112197671776775,-0.035235779907944575,0.0,1,43,0,0
Atomic,6,-0.6912924439081894,-0.20889783802567052,0.0,0,6,0,0
Audiophile,8,-0.24822348524435123,-0.056628931994907816,0.0,0,8,0,0
Aurelian Seal,33,-0.026750973598942736,-0.022651572797965258,0.0,0,33,0,0
Aurora Aura,29,-0.03606026244273632,-0.0264268349309571,0.0,0,29,0,0
Aurora Australis,41,-0.04392502145144609,-0.031460517774952734,0.0,0,41,0,0
Aurora Borealis,55,-0.048470933731159994,-0.027685255641953788,0.0,0,55,0,0
Aurora Polaris,47,-0.0585781453515216,-0.04026946275193666,0.0,0,47,0,0
Aurora Skies,78,-0.5600133499929738,-0.27685255641956985,0.0,0,78,0,0
Autumn Leaves,52,-0.022421669014224717,-0.012584207109980206,0.0,0,52,0,0
Award Winning,34,-0.04059517164184241,-0.024224598686712895,0.0,0,34,0,0
Baron's Cherished Chaplet,32,-0.2577402918712869,-0.1875046859387055,0.0,0,32,0,0
Beaming Beacon,64,-0.03191669528268766,-0.022651572797965258,0.0,0,64,0,0
Bee Swarm,10,-0.07235919088238525,-0.028943676352955805,0.0,0,10,0,0
Bewitched,55,-0.17383366094195526,-0.10067365687984875,0.0,0,55,0,0
Bewitching Bugs,81,-0.3308869667016787,-0.1510104853197589,0.0,0,81,0,0
Blades of Betrayal,78,-0.49977049185366357,-0.3410320126804862,0.0,0,78,0,0
Blazed Brew,44,-0.02753367314722286,-0.022336967620215642,0.0,0,44,0,0
Blazing Beacon,57,-0.02863459056428859,-0.02013473137596833,0.0,0,57,0,0
Blazing Fireworks,5,-0.2698054004379763,-0.2466504593556209,0.0,0,5,0,0
Blighted Snowstorm,48,-0.23461681130669354,-0.14849364389776554,0.0,0,48,0,0
Blizzardy Storm,525,-0.18990767024875688,-0.06795471839389577,0.0,0,525,0,0
Bloody Grip,32,-0.027881883878050198,-0.019505521020469097,0.0,0,32,0,0
Blooming Beacon,59,-0.029696595863094366,-0.023280783153463602,0.0,0,59,0,0
Bonzo the All-Gnawing,180,-3.5435029853852766,-2.139315208696644,0.0,0,180,0,0
Boundless Blizzard,39,-0.02684792186117699,-0.02013473137596833,0.0,0,39,0,0
Bountiful Riches,32,-0.0704007736508971,-0.04970761808442248,0.0,0,32,0,0
Brain Drain,39,-0.30882934935800244,-0.13842627820978493,0.0,0,39,0,0
Bubble Breeze,94,-0.14127780599108572,-0.09689839474685158,0.0,0,94,0,0
Bubbling,483,-0.08679715852212902,-0.035235779907944575,0.0,0,483,0,0
Burning Flames,555,-0.879744913373419,-0.35864990263442564,0.0,0,555,0,0
Burning Sensation,17,-0.07942855428828827,-0.05662893199491137,0.0,0,17,0,0
Butterfly Season,69,-0.10177705474963063,-0.0704715598158927,0.0,0,69,0,0
Calm Snowfall,38,-0.11322474765532553,-0.07550524265987946,0.0,0,38,0,0
Candle Flame,45,-0.1757034961600114,-0.08808944976986055,0.0,0,45,0,0
Carioca's Call,11,-0.02256005129170966,-0.018876310664969864,0.0,0,11,0,0
Cauldron Bubbles,195,-0.4389119716585242,-0.2013473137596833,0.0,0,195,0,0
Cavalier de Carte,42,-0.03215564540578804,-0.021393152086966793,0.0,0,42,0,0
Celestial Starburst,59,-0.8392173100835436,-0.4026946275193666,0.0,0,59,0,0
Celestial Summit,57,-0.8646895713499635,-0.45303145595929095,0.0,0,57,0,0
Charged Arcane,44,-0.030476661582715833,-0.02013473137596833,0.0,0,44,0,0
Charging Catalyst,24,-0.04708066485021382,-0.047819987017927446,0.0,0,24,0,0
Chilling Mist,12,-0.05130686107131629,-0.011357246916757102,0.0,0,12,0,0
Chiroptera Venenata,163,-1.7055769635151539,-1.172848102650164,0.0,0,163,0,0
Chromatic Blaze,18,-0.7254795398903631,-0.26678519073158924,0.0,0,18,0,0
Chromatica,10,-0.2185876775003635,-0.19945968269318115,0.0,0,10,0,0
Circling Heart,532,-0.2007961633355048,-0.08557260834787073,0.0,0,532,0,0
Circling Peace Sign,524,-0.16711658932416892,-0.05285366986191775,0.0,0,524,0,0
Circling TF Logo,505,-0.11323169880672312,-0.05285366986191775,0.0,0,505,0,0
Circuit Break,16,-0.03234141227264989,-0.015101048531977135,0.0,0,16,0,0
Clairvoyance,54,-0.3452966606455148,-0.2239988865576521,0.0,0,54,0,0
Cloud 9,501,-0.1796502317205626,-0.06417945626090216,0.0,0,501,0,0
Cloudy Moon,201,-1.3756781326389602,-0.8053892550387332,0.0,0,201,0,0
Cold Cosmos,9,-0.19519503472814156,-0.16862837527373387,0.0,0,9,0,0
