item_name,unusuals,average_change,median_change,average_listing_change,increases,decreases,new,removed
A Handsome Handy Thing,78,-0.10864365471616334,-0.09060629119186103,0.0,0,78,0,0
A Hat to Kill For,171,-0.24889501091616503,-0.1761788995397211,0.0,0,171,0,0
A Head Full of Hot Air,92,-0.09474403320356405,-0.0767636633708797,0.0,0,92,0,0
A Rather Festive Tree,63,-1.205181396079487,-0.19253836878270292,0.0,0,62,1,0
A Well Wrapped Hat,70,-0.3519263405499609,-0.2353246729566365,0.0,0,70,0,0
Aimframe,39,-0.06311463873620887,-0.04278630417393714,0.0,0,39,0,0
Air Head,9,-0.02614718588407092,-0.02013473137596833,0.0,0,9,0,0
Airdog,159,-0.07508972638738295,-0.057887352705904505,0.0,0,159,0,0
Alakablamicon,47,-0.2967730885255782,-0.1661115338517405,0.0,0,47,0,0
All Hallows' Hatte,12,-0.5929258916652363,-0.5146940707981855,0.0,0,12,0,0
Allbrero,44,-0.3088278826671971,-0.09060629119185393,0.0,0,44,0,0
Alpine Hawk,5,-0.06090756241230437,-0.06040419412790499,0.0,0,5,0,0
Anger,58,-1.0264807558157902,-0.375009371877411,0.0,0,58,0,0
Antarctic Eyewear,137,-0.2777435550251623,-0.22903256940163885,0.0,0,137,0,0
Antlers,47,-7.3234472520253355,-3.7752621329941576,0.0,0,47,0,0
Archer's Sterling,121,-0.11726712997403592,-0.07172998052688939,0.0,0,121,0,0
Arctic Mole,49,-0.09368813783103706,-0.07298840123788963,0.0,0,49,0,0
Armored Authority,59,-0.7259807752582976,-0.17114521669574145,0.0,0,59,0,0
Attendant,59,-0.44929885215548265,-0.17114521669574145,0.0,0,59,0,0
Aviator Assassin,44,-0.20316178083135408,-0.0704715598158927,0.0,0,43,1,0
Aztec Aggressor,32,-0.19595970009072539,-0.14975206460876223,0.0,0,32,0,0
Aztec Warrior,15,-0.9439833226766566,-0.45303145595929095,0.0,0,15,0,0
B'aaarrgh-n-Bicorne,25,-0.3405789812245058,-0.2239988865576521,0.0,0,25,0,0
Backbiter's Billycock,61,-0.41132821879072357,-0.08808944976986055,0.0,0,61,0,0
Backbreaker's Skullcracker,53,-0.05865902578340806,-0.041527883462933346,0.0,0,53,0,0
Backwards Ballcap,62,-0.8747055433822508,-0.20889783802567763,0.0,0,61,1,0
Badlands Bandido,16,-0.43171695516676367,-0.2831446599745533,0.0,0,16,0,0
Balkans Brute,36,-0.05578998485424583,-0.03271893848594942,0.0,0,36,0,0
Balloonihoodie,10,-1.50859474834443,-1.0507812936833432,0.0,0,10,0,0
Ballooniphones,19,-0.9058642139115869,-0.5662893199491066,0.0,0,19,0,0
Bare Bear Bones,11,-1.113702329233268,-1.0067365687984307,0.0,0,11,0,0
Bare Necessities,31,-0.3002348251142407,-0.1887631066497022,0.0,0,31,0,0
Barnstormer,51,-0.2453920386446113,-0.07550524265987946,0.0,0,51,0,0
Baron von Havenaplane,43,-0.37013664982204014,-0.06795471839389577,0.0,0,43,0,0
Base Metal Billycock,55,-0.15582680458640105,-0.05285366986191775,0.0,0,55,0,0
Baseball Bill's Sports Shine,30,-0.44627793147694206,-0.24539203864461712,0.0,0,30,0,0
Bat Hat,92,-0.11206783570876988,-0.0767636633708797,0.0,0,92,0,0
Batter's Helmet,30,-0.29886582254853994,-0.09689839474685158,0.0,0,30,0,0
Battle Boonie,93,-0.42737591114152856,-0.1761788995397211,0.0,0,93,0,0
Bazaar Bauble,67,-0.04345307932677572,-0.03271893848594942,0.0,0,67,0,0
Beanie the All-Gnawing,103,-0.13544516506916748,-0.09563997403585489,0.0,0,103,0,0
Bear Necessities,54,-0.49061787078022245,-0.16107785100774663,0.0,0,53,1,0
Bedouin Bandana,22,-1.7023572172732586,-1.1325786398982132,0.0,0,22,0,0
Belgian Detective,44,-0.3714682345278611,-0.07928050479287663,0.0,0,43,1,0
Berlin Brain Bowl,149,-0.17788494640966898,-0.13339259536579107,0.0,0,149,0,0
Berliner's Bucket Helm,58,-0.32382150526068837,-0.12584207109980383,0.0,0,57,1,0
Big Chief,59,-0.3495156171041011,-0.08714145743154234,0.0,0,59,0,0
Big Country,60,-0.2570142511908279,-0.09815681545784827,0.0,0,59,1,0
Big Elfin Deal,61,-0.18380283168051706,-0.07550524265987946,0.0,0,60,1,0
Big Topper,26,-0.15957742631386487,-0.10822418114583243,0.0,0,26,0,0
Birdcage,62,-0.27861313229404233,-0.11954996754481684,0.0,0,62,0,0
Black Watch,50,-0.36615009007198424,-0.13465101607678776,0.0,0,50,0,0
Blast Bowl,42,-0.05391733498669003,-0.036494200618941264,0.0,0,42,0,0
Blast Defense,166,1.761084091426519,-0.29635807744004694,0.0,1,165,0,0
Blighted Beak,55,-3.0497359849292565,-1.5604416816375988,0.0,0,54,1,0
Blindin' Bonnet,4,-0.0767636633708797,-0.06166261483890523,0.0,0,4,0,0
Blitzen Bowl,27,-0.0749925527405872,-0.057887352705904505,0.0,0,27,0,0
Blizzard Bonnet,3,-0.19715257805635625,-0.12584207109980383,0.0,0,3,0,0
Bloke's Bucket Hat,57,-0.21001604650039765,-0.08305576692587024,0.0,0,57,0,0
Boarder's Beanie,3,-1.711452166957315,-1.6107785100774663,0.0,0,3,0,0
Bobby Bonnet,21,-0.17246356220249126,-0.14849364389776554,0.0,0,21,0,0
Bolted Bicorne,48,-0.1684007885494051,-0.05537051128391113,0.0,0,47,1,0
Bolted Birdcage,56,-0.19784661614545343,-0.06292103554990547,0.0,0,55,1,0
Bomb Beanie,89,-0.11174493122491505,-0.07550524265987946,0.0,0,89,0,0
Bombard Brigadier,62,-0.0614596437564848,-0.05033682843992082,0.0,0,62,0,0
Bomber Knight,12,-0.5484616932099744,-0.41527883462933346,0.0,0,12,0,0
Bomber's Bucket Hat,44,-0.45978116704554384,-0.1522689060307627,0.0,0,44,0,0
Bombing Run,62,-0.3200308277002019,-0.07298840123788963,0.0,0,61,1,0
Bone Cone,46,-0.6934718826758469,-0.509660387954213,0.0,0,46,0,0
Bone Dome,57,-0.35561620984899384,-0.08808944976986055,0.0,0,56,1,0
Bonk Beanie,19,-0.2896354615365433,-0.1887631066497022,0.0,0,19,0,0
Bonk Boy,56,-2.9211488004306125,-1.289881228772913,0.0,0,55,1,0
Bonk Helm,61,-0.5178813822711412,-0.1182915468338166,0.0,0,61,0,0
Bonk Leadwear,58,-0.37662103348973786,-0.0931231326138473,0.0,0,57,1,0
Bootleg Base Metal Billycock,55,-0.14070287567785686,-0.045303145595930516,0.0,0,55,0,0
Boston Brain Bucket,52,-0.079909715148375,-0.049078407728924134,0.0,0,52,0,0
Bot Dogger,58,-0.3391358602599059,-0.07550524265987946,0.0,0,57,1,0
Bottle Cap,60,-0.12177317746757617,-0.10193207759084544,0.0,0,60,0,0
Boxcar Bomber,41,-0.23652170729148334,-0.0943815533248511,0.0,0,41,0,0
Brain Bucket,58,-0.3220793385488061,-0.10319049830184213,0.0,0,57,1,0
Brain Interface,62,-0.11325786398982368,-0.07550524265987946,0.0,0,62,0,0
Brain-Warming Wear,139,-0.08370761074739448,-0.03775262132993795,0.0,0,139,0,0
Brainiac Hairpiece,61,-1.8593563599531484,-0.7777039993967492,0.0,0,61,0,0
Brand Loyalist,38,-0.18038467402121902,-0.1365386471432828,0.0,0,38,0,0
Brass Bucket,114,-0.18647807956920823,-0.14912285425326743,0.0,0,114,0,0
Breach and Bomb,73,-0.20931156538271173,-0.13339259536579107,0.0,0,73,0,0
Bread Heads,17,-0.5520765683896071,-0.3775262132994044,0.0,0,17,0,0
Breadcrab,18,-0.8072768861052353,-0.679547183938908,0.0,0,18,0,0
Brigade Helm,62,-0.4844615270337437,-0.1510104853197589,0.0,0,61,1,0
Brim of Fire,67,-0.1332611185750915,-0.09563997403585489,0.0,0,67,0,0
Brim-Full of Bullets,58,-0.5478766379671418,-0.12332522967781046,0.0,0,57,1,0
Brimmed Bootlegger,77,-0.1554067862451978,-0.10696576043482509,0.0,0,77,0,0
Broadband Bonnet,50,-0.18864984878571484,-0.05285366986191775,0.0,0,50,0,0
Brotherhood of Arms,55,-1.4212374706245972,-0.4152788346293619,0.0,0,55,0,0
Brothers in Blues,71,-0.27148211310361614,-0.17366205811772772,0.0,0,71,0,0
