source_value,source_value_high,source_currency,source_last_update,effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,slot,summary,defindex,scrape_timestamp,usd_price,key_low,key_high,key_mid,item_type,key_price_ref,key_rate_source,bp_price_keys_equivalent,has_price,source_price_low,source_price_high,source_price_unit,source_price_provenance,market_id,collected_at,cleaning_version,price_status,source_updated_at,price_change_fraction,quality_flags,raw_row_number
21.0,21.0,keys,1731138066,6,Green Confetti,A Hat to Kill For,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Hat,30753,2026-09-11T04:38:28+00:00,,21.0,21.0,21.0,cosmetic,64.555,backpack_tf_api,20.999999999999996,True,21.0,21.0,keys,api_original,tf2:unusual:30753:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-11-09T07:41:06+00:00,-2.220446049250313e-16,,2
10.0,10.0,keys,1711284367,6,Green Confetti,A Head Full of Hot Air,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30662,2026-09-11T04:38:28+00:00,,10.0,10.0,10.0,cosmetic,64.555,backpack_tf_api,9.999999999999998,True,10.0,10.0,keys,api_original,tf2:unusual:30662:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-03-24T12:46:07+00:00,0.0,,3
18.0,18.0,keys,1632599437,6,Green Confetti,A Rather Festive Tree,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,341,2026-09-11T04:38:28+00:00,,18.0,18.0,18.0,cosmetic,64.555,backpack_tf_api,18.0,True,18.0,18.0,keys,api_original,tf2:unusual:341:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2021-09-25T19:50:37+00:00,0.0,,4
68.0,68.0,keys,1760248227,6,Green Confetti,A Well Wrapped Hat,4389.74,68 keys,"4,389.74 ref",misc,Level 1-100 Hat,30746,2026-09-11T04:38:28+00:00,,68.0,68.0,68.0,cosmetic,64.555,backpack_tf_api,67.99999999999999,True,68.0,68.0,keys,api_original,tf2:unusual:30746:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-10-12T05:50:27+00:00,0.0,,5
7.5,8.5,keys,1762904779,6,Green Confetti,Airdog,484.1625,7.5–8.5 keys,484.16 ref,misc,Level 1-100 Helmet,30767,2026-09-11T04:38:28+00:00,,7.5,8.5,8.0,cosmetic,64.555,backpack_tf_api,7.5,True,7.5,8.5,keys,api_original,tf2:unusual:30767:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-11-11T23:46:19+00:00,0.0,,6
27.0,29.0,keys,1684534650,6,Green Confetti,Allbrero,1742.985,27–29 keys,"1,742.99 ref",misc,Level 1-100 Hat,30429,2026-09-11T04:38:28+00:00,,27.0,29.0,28.0,cosmetic,64.555,backpack_tf_api,26.999999999999996,True,27.0,29.0,keys,api_original,tf2:unusual:30429:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2023-05-19T22:17:30+00:00,-1.1102230246251565e-16,,7
36.0,36.0,keys,1430061437,6,Green Confetti,Anger,2323.98,36 keys,"2,323.98 ref",misc,Level 10 Hood,518,2026-09-11T04:38:28+00:00,,36.0,36.0,36.0,cosmetic,64.555,backpack_tf_api,36.0,True,36.0,36.0,keys,api_original,tf2:unusual:518:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2015-04-26T15:17:17+00:00,0.0,,8
18.0,18.0,keys,1763385428,6,Green Confetti,Antarctic Eyewear,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Apparel,30977,2026-09-11T04:38:28+00:00,,18.0,18.0,18.0,cosmetic,64.555,backpack_tf_api,18.0,True,18.0,18.0,keys,api_original,tf2:unusual:30977:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-11-17T13:17:08+00:00,0.0,,9
800.0,900.0,keys,1679139050,6,Green Confetti,Antlers,51644.0,800–900 keys,"51,644.00 ref",misc,Level 1-100 Cosmetic Item,993,2026-09-11T04:38:28+00:00,,800.0,900.0,850.0,cosmetic,64.555,backpack_tf_api,799.9999999999999,True,800.0,900.0,keys,api_original,tf2:unusual:993:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2023-03-18T11:30:50+00:00,0.0,,10
7.5,7.5,keys,1593277731,6,Green Confetti,Archer's Sterling,484.1625,7.5 keys,484.16 ref,misc,Level 1-100 Helmet,30874,2026-09-11T04:38:28+00:00,,7.5,7.5,7.5,cosmetic,64.555,backpack_tf_api,7.5,True,7.5,7.5,keys,api_original,tf2:unusual:30874:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2020-06-27T17:08:51+00:00,0.0,,11
16.0,20.0,keys,1786349657,6,Green Confetti,Armored Authority,1032.88,16–20 keys,"1,032.88 ref",misc,Level 1-100 Helmet,445,2026-09-11T04:38:28+00:00,,16.0,20.0,18.0,cosmetic,64.555,backpack_tf_api,16.0,True,16.0,20.0,keys,api_original,tf2:unusual:445:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2026-08-10T08:14:17+00:00,0.0,,12
14.0,16.0,keys,1643714604,6,Green Confetti,Attendant,903.77,14–16 keys,903.77 ref,misc,Level 1-100 Hat,213,2026-09-11T04:38:28+00:00,,14.0,16.0,15.0,cosmetic,64.555,backpack_tf_api,13.999999999999998,True,14.0,16.0,keys,api_original,tf2:unusual:213:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2022-02-01T11:23:24+00:00,0.0,,13
22.0,22.0,keys,1712925802,6,Green Confetti,Aviator Assassin,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,30404,2026-09-11T04:38:28+00:00,,22.0,22.0,22.0,cosmetic,64.555,backpack_tf_api,22.0,True,22.0,22.0,keys,api_original,tf2:unusual:30404:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-04-12T12:43:22+00:00,0.0,,14
33.0,33.0,keys,1728495352,6,Green Confetti,Aztec Aggressor,2130.315,33 keys,"2,130.32 ref",misc,Level 1-100 Headgear,30914,2026-09-11T04:38:28+00:00,,33.0,33.0,33.0,cosmetic,64.555,backpack_tf_api,33.0,True,33.0,33.0,keys,api_original,tf2:unusual:30914:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-10-09T17:35:52+00:00,0.0,,15
10.0,13.0,keys,1553097763,6,Green Confetti,Backbiter's Billycock,645.55,10–13 keys,645.55 ref,misc,Level 1-100 Hat,108,2026-09-11T04:38:28+00:00,,10.0,13.0,11.5,cosmetic,64.555,backpack_tf_api,9.999999999999998,True,10.0,13.0,keys,api_original,tf2:unusual:108:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2019-03-20T16:02:43+00:00,0.0,,16
10.0,10.0,keys,1726775802,6,Green Confetti,Backbreaker's Skullcracker,645.55,10 keys,645.55 ref,misc,Level 1-100 Helmet,31038,2026-09-11T04:38:28+00:00,,10.0,10.0,10.0,cosmetic,64.555,backpack_tf_api,9.999999999999998,True,10.0,10.0,keys,api_original,tf2:unusual:31038:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-09-19T19:56:42+00:00,0.0,,17
13.0,15.0,keys,1595424721,6,Green Confetti,Backwards Ballcap,839.215,13–15 keys,839.22 ref,misc,Level 10 Hat,617,2026-09-11T04:38:28+00:00,,13.0,15.0,14.0,cosmetic,64.555,backpack_tf_api,13.0,True,13.0,15.0,keys,api_original,tf2:unusual:617:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2020-07-22T13:32:01+00:00,0.0,,18
8.0,8.0,keys,1715537982,6,Green Confetti,Balkans Brute,516.44,8 keys,516.44 ref,misc,Level 1-100 Hat,31434,2026-09-11T04:38:28+00:00,,8.0,8.0,8.0,cosmetic,64.555,backpack_tf_api,8.0,True,8.0,8.0,keys,api_original,tf2:unusual:31434:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2024-05-12T18:19:42+00:00,0.0,,19
164.0,164.0,keys,1605713226,6,Green Confetti,Balloonihoodie,10587.02,164 keys,"10,587.02 ref",misc,Level 1-100 Hood,30928,2026-09-11T04:38:28+00:00,,164.0,164.0,164.0,cosmetic,64.555,backpack_tf_api,164.0,True,164.0,164.0,keys,api_original,tf2:unusual:30928:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2020-11-18T15:27:06+00:00,0.0,,20
25.0,25.0,keys,1570292683,6,Green Confetti,Bare Necessities,1613.875,25 keys,"1,613.88 ref",misc,Level 1-100 Hat,31054,2026-09-11T04:38:28+00:00,,25.0,25.0,25.0,cosmetic,64.555,backpack_tf_api,24.999999999999996,True,25.0,25.0,keys,api_original,tf2:unusual:31054:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2019-10-05T16:24:43+00:00,-1.1102230246251565e-16,,21
22.0,23.0,keys,1485882779,6,Green Confetti,Barnstormer,1420.21,22–23 keys,"1,420.21 ref",misc,Level 1-100 Hat,988,2026-09-11T04:38:28+00:00,,22.0,23.0,22.5,cosmetic,64.555,backpack_tf_api,22.0,True,22.0,23.0,keys,api_original,tf2:unusual:988:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2017-01-31T17:12:59+00:00,0.0,,22
10.0,10.0,keys,1548869808,6,Green Confetti,Base Metal Billycock,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30007,2026-09-11T04:38:28+00:00,,10.0,10.0,10.0,cosmetic,64.555,backpack_tf_api,9.999999999999998,True,10.0,10.0,keys,api_original,tf2:unusual:30007:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2019-01-30T17:36:48+00:00,0.0,,23
50.0,50.0,keys,1637373769,6,Green Confetti,Baseball Bill's Sports Shine,3227.75,50 keys,"3,227.75 ref",misc,Level 1-100 Cosmetic Item,111,2026-09-11T04:38:28+00:00,,50.0,50.0,50.0,cosmetic,64.555,backpack_tf_api,49.99999999999999,True,50.0,50.0,keys,api_original,tf2:unusual:111:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2021-11-20T02:02:49+00:00,0.0,,24
13.0,14.0,keys,1589441597,6,Green Confetti,Bat Hat,839.215,13–14 keys,839.22 ref,misc,Level 1-100 Hat,31058,2026-09-11T04:38:28+00:00,,13.0,14.0,13.5,cosmetic,64.555,backpack_tf_api,13.0,True,13.0,14.0,keys,api_original,tf2:unusual:31058:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2020-05-14T07:33:17+00:00,0.0,,25
19.0,19.0,keys,1754632023,6,Green Confetti,Batter's Helmet,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Helmet,52,2026-09-11T04:38:28+00:00,,19.0,19.0,19.0,cosmetic,64.555,backpack_tf_api,19.0,True,19.0,19.0,keys,api_original,tf2:unusual:52:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-08-08T05:47:03+00:00,0.0,,26
13.0,13.0,keys,1677331575,6,Green Confetti,Battle Boonie,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,30907,2026-09-11T04:38:28+00:00,,13.0,13.0,13.0,cosmetic,64.555,backpack_tf_api,13.0,True,13.0,13.0,keys,api_original,tf2:unusual:30907:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2023-02-25T13:26:15+00:00,0.0,,27
7.0,7.0,keys,1629188960,6,Green Confetti,Bazaar Bauble,451.885,7 keys,451.89 ref,misc,Level 1-100 Hat,31112,2026-09-11T04:38:28+00:00,,7.0,7.0,7.0,cosmetic,64.555,backpack_tf_api,6.999999999999999,True,7.0,7.0,keys,api_original,tf2:unusual:31112:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2021-08-17T08:29:20+00:00,0.0,,28
14.0,15.0,keys,1700937167,6,Green Confetti,Beanie the All-Gnawing,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Hat,31212,2026-09-11T04:38:28+00:00,,14.0,15.0,14.5,cosmetic,64.555,backpack_tf_api,13.999999999999998,True,14.0,15.0,keys,api_original,tf2:unusual:31212:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2023-11-25T18:32:47+00:00,0.0,,29
29.0,29.0,keys,1755110819,6,Green Confetti,Bear Necessities,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Spirit Animal,30122,2026-09-11T04:38:28+00:00,,29.0,29.0,29.0,cosmetic,64.555,backpack_tf_api,28.999999999999996,True,29.0,29.0,keys,api_original,tf2:unusual:30122:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-08-13T18:46:59+00:00,-1.1102230246251565e-16,,30
310.0,310.0,keys,1665663191,6,Green Confetti,Bedouin Bandana,20012.05,310 keys,"20,012.05 ref",misc,Level 1-100 Hood,30768,2026-09-11T04:38:28+00:00,,310.0,310.0,310.0,cosmetic,64.555,backpack_tf_api,309.99999999999994,True,310.0,310.0,keys,api_original,tf2:unusual:30768:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2022-10-13T12:13:11+00:00,0.0,,31
15.0,15.0,keys,1701128235,6,Green Confetti,Belgian Detective,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,30128,2026-09-11T04:38:28+00:00,,15.0,15.0,15.0,cosmetic,64.555,backpack_tf_api,15.0,True,15.0,15.0,keys,api_original,tf2:unusual:30128:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2023-11-27T23:37:15+00:00,0.0,,32
14.0,15.0,keys,1632761953,6,Green Confetti,Berlin Brain Bowl,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Headgear,30755,2026-09-11T04:38:28+00:00,,14.0,15.0,14.5,cosmetic,64.555,backpack_tf_api,13.999999999999998,True,14.0,15.0,keys,api_original,tf2:unusual:30755:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2021-09-27T16:59:13+00:00,0.0,,33
13.0,13.0,keys,1627524549,6,Green Confetti,Berliner's Bucket Helm,839.215,13 keys,839.22 ref,misc,Level 1-100 Helmet,303,2026-09-11T04:38:28+00:00,,13.0,13.0,13.0,cosmetic,64.555,backpack_tf_api,13.0,True,13.0,13.0,keys,api_original,tf2:unusual:303:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2021-07-29T02:09:09+00:00,0.0,,34
15.0,17.0,keys,1755074383,6,Green Confetti,Big Chief,968.325,15–17 keys,968.33 ref,misc,Level 1-100 Hat,309,2026-09-11T04:38:28+00:00,,15.0,17.0,16.0,cosmetic,64.555,backpack_tf_api,15.0,True,15.0,17.0,keys,api_original,tf2:unusual:309:6:tradable:craftable,2026-09-11T04:38:28+00:00,2.0,priced,2025-08-13T08:39:43+00:00,0.0,,35
