scrape_timestamp,source_url,item_name,item_type,quality,craftable,price_ref,key_price_ref,price_keys_equivalent,source_price_low,source_price_high,source_price_unit,price_is_range,display_price,display_unit,price_text,usd_price,stats_url
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Civilian Grade Keyless Case #114,Tool,Unique,True,6.775,64.495,0.10504690286068687,5.0,8.55,ref,True,6.775,ref,5–8.55 ref,0.2066,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/114
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Freelance Grade Keyless Case #115,Tool,Unique,True,3.7199999999999998,64.495,0.05767888983642142,3.11,4.33,ref,True,3.7199999999999998,ref,3.11–4.33 ref,0.1135,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/115
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Contract Campaigner' War Paint Mercenary Grade Keyless Case #116,Tool,Unique,True,9.055,64.495,0.1403984805023645,8.0,10.11,ref,True,9.055,ref,8–10.11 ref,0.2762,https://backpack.tf/stats/Unique/%27Contract%20Campaigner%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/116
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Civilian Grade Keyless Case #111,Tool,Unique,True,1.385,64.495,0.02147453290952787,1.33,1.44,ref,True,1.385,ref,1.33–1.44 ref,0.0422,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0ACivilian%20Grade%20Keyless%20Case/Tradable/Craftable/111
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Freelance Grade Keyless Case #112,Tool,Unique,True,5.0,64.495,0.07752538956508256,5.0,5.0,ref,False,5.0,ref,5 ref,0.1525,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AFreelance%20Grade%20Keyless%20Case/Tradable/Craftable/112
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,'Decorated War Hero' War Paint Mercenary Grade Keyless Case #113,Tool,Unique,True,5.5,64.495,0.08527792852159082,4.0,7.0,ref,True,5.5,ref,4–7 ref,0.1678,https://backpack.tf/stats/Unique/%27Decorated%20War%20Hero%27%20War%20Paint%0AMercenary%20Grade%20Keyless%20Case/Tradable/Craftable/113
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Collector's,True,12899.0,64.495,200.0,200.0,200.0,keys,False,200.0,keys,200 keys,,https://backpack.tf/stats/Collector%27s/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Strange,True,1128.6625000000001,64.495,17.5,16.0,19.0,keys,True,17.5,keys,16–19 keys,,https://backpack.tf/stats/Strange/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Brush with Death,Cosmetic,Unique,True,5.275,64.495,0.0817892859911621,4.55,6.0,ref,True,5.275,ref,4.55–6 ref,0.16,https://backpack.tf/stats/Unique/A%20Brush%20with%20Death/Tradable/Craftable
2026-08-07T15:30:49,https://backpack.tf/spreadsheet,A Color Similar to Slate,Tool,Unique,True,11.995000000000001,64.495,0.18598340956663306,11.44,12.55,ref,True,11.995000000000001,ref,11.44–12.55 ref,0.3658,https://backpack.tf/stats/Unique/A%20Color%20Similar%20to%20Slate/Tradable/Craftable
