effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,exist,slot,summary,defindex,scrape_timestamp
6,Green Confetti,A Hat to Kill For,1201.62,21 keys,"1,201.62 ref",0,misc,Level 1-100 Hat,30753,2026-07-28T02:13:42
6,Green Confetti,A Head Full of Hot Air,572.2,10 keys,572.20 ref,0,misc,Level 1-100 Hat,30662,2026-07-28T02:13:42
6,Green Confetti,A Rather Festive Tree,1029.96,18 keys,"1,029.96 ref",0,misc,Level 1-100 Hat,341,2026-07-28T02:13:42
6,Green Confetti,A Well Wrapped Hat,3890.96,68 keys,"3,890.96 ref",0,misc,Level 1-100 Hat,30746,2026-07-28T02:13:42
6,Green Confetti,Airdog,429.15,7.5–8.5 keys,429.15 ref,0,misc,Level 1-100 Helmet,30767,2026-07-28T02:13:42
6,Green Confetti,Allbrero,1544.94,27–29 keys,"1,544.94 ref",0,misc,Level 1-100 Hat,30429,2026-07-28T02:13:42
6,Green Confetti,Anger,2059.92,36 keys,"2,059.92 ref",0,misc,Level 10 Hood,518,2026-07-28T02:13:42
6,Green Confetti,Antarctic Eyewear,1029.96,18 keys,"1,029.96 ref",0,misc,Level 1-100 Apparel,30977,2026-07-28T02:13:42
6,Green Confetti,Antlers,45776.0,800–900 keys,"45,776.00 ref",0,misc,Level 1-100 Cosmetic Item,993,2026-07-28T02:13:42
6,Green Confetti,Archer's Sterling,429.15,7.5 keys,429.15 ref,0,misc,Level 1-100 Helmet,30874,2026-07-28T02:13:42
6,Green Confetti,Armored Authority,1144.4,20 keys,"1,144.40 ref",0,misc,Level 1-100 Helmet,445,2026-07-28T02:13:42
6,Green Confetti,Attendant,801.08,14–16 keys,801.08 ref,0,misc,Level 1-100 Hat,213,2026-07-28T02:13:42
6,Green Confetti,Aviator Assassin,1258.84,22 keys,"1,258.84 ref",0,misc,Level 1-100 Hat,30404,2026-07-28T02:13:42
6,Green Confetti,Aztec Aggressor,1888.26,33 keys,"1,888.26 ref",0,misc,Level 1-100 Headgear,30914,2026-07-28T02:13:42
6,Green Confetti,Backbiter's Billycock,572.2,10–13 keys,572.20 ref,0,misc,Level 1-100 Hat,108,2026-07-28T02:13:42
6,Green Confetti,Backbreaker's Skullcracker,572.2,10 keys,572.20 ref,0,misc,Level 1-100 Helmet,31038,2026-07-28T02:13:42
6,Green Confetti,Backwards Ballcap,743.86,13–15 keys,743.86 ref,0,misc,Level 10 Hat,617,2026-07-28T02:13:42
6,Green Confetti,Balkans Brute,457.76,8 keys,457.76 ref,0,misc,Level 1-100 Hat,31434,2026-07-28T02:13:42
6,Green Confetti,Balloonihoodie,9384.08,164 keys,"9,384.08 ref",0,misc,Level 1-100 Hood,30928,2026-07-28T02:13:42
6,Green Confetti,Bare Necessities,1430.5,25 keys,"1,430.50 ref",0,misc,Level 1-100 Hat,31054,2026-07-28T02:13:42
