source_value,source_value_high,source_currency,source_last_update,effect_id,effect_name,item_name,bp_price_ref,bp_price_keys,bp_price_all,slot,summary,defindex,scrape_timestamp
21,21,keys,1731138066,6,Green Confetti,A Hat to Kill For,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Hat,30753,2026-09-11T04:38:28+00:00
10,10,keys,1711284367,6,Green Confetti,A Head Full of Hot Air,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30662,2026-09-11T04:38:28+00:00
18,18,keys,1632599437,6,Green Confetti,A Rather Festive Tree,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,341,2026-09-11T04:38:28+00:00
68,68,keys,1760248227,6,Green Confetti,A Well Wrapped Hat,4389.74,68 keys,"4,389.74 ref",misc,Level 1-100 Hat,30746,2026-09-11T04:38:28+00:00
7.5,8.5,keys,1762904779,6,Green Confetti,Airdog,484.1625,7.5–8.5 keys,484.16 ref,misc,Level 1-100 Helmet,30767,2026-09-11T04:38:28+00:00
27,29,keys,1684534650,6,Green Confetti,Allbrero,1742.985,27–29 keys,"1,742.99 ref",misc,Level 1-100 Hat,30429,2026-09-11T04:38:28+00:00
36,36,keys,1430061437,6,Green Confetti,Anger,2323.98,36 keys,"2,323.98 ref",misc,Level 10 Hood,518,2026-09-11T04:38:28+00:00
18,18,keys,1763385428,6,Green Confetti,Antarctic Eyewear,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Apparel,30977,2026-09-11T04:38:28+00:00
800,900,keys,1679139050,6,Green Confetti,Antlers,51644.0,800–900 keys,"51,644.00 ref",misc,Level 1-100 Cosmetic Item,993,2026-09-11T04:38:28+00:00
7.5,7.5,keys,1593277731,6,Green Confetti,Archer's Sterling,484.1625,7.5 keys,484.16 ref,misc,Level 1-100 Helmet,30874,2026-09-11T04:38:28+00:00
16,20,keys,1786349657,6,Green Confetti,Armored Authority,1032.88,16–20 keys,"1,032.88 ref",misc,Level 1-100 Helmet,445,2026-09-11T04:38:28+00:00
14,16,keys,1643714604,6,Green Confetti,Attendant,903.77,14–16 keys,903.77 ref,misc,Level 1-100 Hat,213,2026-09-11T04:38:28+00:00
22,22,keys,1712925802,6,Green Confetti,Aviator Assassin,1420.21,22 keys,"1,420.21 ref",misc,Level 1-100 Hat,30404,2026-09-11T04:38:28+00:00
33,33,keys,1728495352,6,Green Confetti,Aztec Aggressor,2130.315,33 keys,"2,130.32 ref",misc,Level 1-100 Headgear,30914,2026-09-11T04:38:28+00:00
10,13,keys,1553097763,6,Green Confetti,Backbiter's Billycock,645.55,10–13 keys,645.55 ref,misc,Level 1-100 Hat,108,2026-09-11T04:38:28+00:00
10,10,keys,1726775802,6,Green Confetti,Backbreaker's Skullcracker,645.55,10 keys,645.55 ref,misc,Level 1-100 Helmet,31038,2026-09-11T04:38:28+00:00
13,15,keys,1595424721,6,Green Confetti,Backwards Ballcap,839.215,13–15 keys,839.22 ref,misc,Level 10 Hat,617,2026-09-11T04:38:28+00:00
8,8,keys,1715537982,6,Green Confetti,Balkans Brute,516.44,8 keys,516.44 ref,misc,Level 1-100 Hat,31434,2026-09-11T04:38:28+00:00
164,164,keys,1605713226,6,Green Confetti,Balloonihoodie,10587.02,164 keys,"10,587.02 ref",misc,Level 1-100 Hood,30928,2026-09-11T04:38:28+00:00
25,25,keys,1570292683,6,Green Confetti,Bare Necessities,1613.875,25 keys,"1,613.88 ref",misc,Level 1-100 Hat,31054,2026-09-11T04:38:28+00:00
22,23,keys,1485882779,6,Green Confetti,Barnstormer,1420.21,22–23 keys,"1,420.21 ref",misc,Level 1-100 Hat,988,2026-09-11T04:38:28+00:00
10,10,keys,1548869808,6,Green Confetti,Base Metal Billycock,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30007,2026-09-11T04:38:28+00:00
50,50,keys,1637373769,6,Green Confetti,Baseball Bill's Sports Shine,3227.75,50 keys,"3,227.75 ref",misc,Level 1-100 Cosmetic Item,111,2026-09-11T04:38:28+00:00
13,14,keys,1589441597,6,Green Confetti,Bat Hat,839.215,13–14 keys,839.22 ref,misc,Level 1-100 Hat,31058,2026-09-11T04:38:28+00:00
19,19,keys,1754632023,6,Green Confetti,Batter's Helmet,1226.545,19 keys,"1,226.55 ref",misc,Level 1-100 Helmet,52,2026-09-11T04:38:28+00:00
13,13,keys,1677331575,6,Green Confetti,Battle Boonie,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,30907,2026-09-11T04:38:28+00:00
7,7,keys,1629188960,6,Green Confetti,Bazaar Bauble,451.885,7 keys,451.89 ref,misc,Level 1-100 Hat,31112,2026-09-11T04:38:28+00:00
14,15,keys,1700937167,6,Green Confetti,Beanie the All-Gnawing,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Hat,31212,2026-09-11T04:38:28+00:00
29,29,keys,1755110819,6,Green Confetti,Bear Necessities,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Spirit Animal,30122,2026-09-11T04:38:28+00:00
310,310,keys,1665663191,6,Green Confetti,Bedouin Bandana,20012.05,310 keys,"20,012.05 ref",misc,Level 1-100 Hood,30768,2026-09-11T04:38:28+00:00
15,15,keys,1701128235,6,Green Confetti,Belgian Detective,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,30128,2026-09-11T04:38:28+00:00
14,15,keys,1632761953,6,Green Confetti,Berlin Brain Bowl,903.77,14–15 keys,903.77 ref,misc,Level 1-100 Headgear,30755,2026-09-11T04:38:28+00:00
13,13,keys,1627524549,6,Green Confetti,Berliner's Bucket Helm,839.215,13 keys,839.22 ref,misc,Level 1-100 Helmet,303,2026-09-11T04:38:28+00:00
15,17,keys,1755074383,6,Green Confetti,Big Chief,968.325,15–17 keys,968.33 ref,misc,Level 1-100 Hat,309,2026-09-11T04:38:28+00:00
16,17,keys,1562341235,6,Green Confetti,Big Country,1032.88,16–17 keys,"1,032.88 ref",misc,Level 1-100 Hair,382,2026-09-11T04:38:28+00:00
8.5,12,keys,1573847544,6,Green Confetti,Big Elfin Deal,548.7175,8.5–12 keys,548.72 ref,misc,Level 1-100 Hat,652,2026-09-11T04:38:28+00:00
11,11,keys,1755074128,6,Green Confetti,Birdcage,710.105,11 keys,710.11 ref,misc,Level 10 Hat,615,2026-09-11T04:38:28+00:00
10,10,keys,1594386478,6,Green Confetti,Black Watch,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,30105,2026-09-11T04:38:28+00:00
16,17,keys,1751688696,6,Green Confetti,Blast Defense,1032.88,16–17 keys,"1,032.88 ref",misc,Level 1-100 Headgear,30863,2026-09-11T04:38:28+00:00
225,255,keys,1770319972,6,Green Confetti,Blighted Beak,14524.875,225–255 keys,"14,524.88 ref",misc,Level 1-100 Mask,315,2026-09-11T04:38:28+00:00
12,12,keys,1536515888,6,Green Confetti,Bloke's Bucket Hat,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,181,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1676814278,6,Green Confetti,Bolted Bicorne,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,30034,2026-09-11T04:38:28+00:00
9,9,keys,1669909479,6,Green Confetti,Bolted Birdcage,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,30057,2026-09-11T04:38:28+00:00
8,8,keys,1702156896,6,Green Confetti,Bombard Brigadier,516.44,8 keys,516.44 ref,misc,Level 1-100 Hat,31309,2026-09-11T04:38:28+00:00
60,60,keys,1588269329,6,Green Confetti,Bomber Knight,3873.3,60 keys,"3,873.30 ref",misc,Level 1-100 Helmet,30830,2026-09-11T04:38:28+00:00
14,14,keys,1721742119,6,Green Confetti,Bomber's Bucket Hat,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,30547,2026-09-11T04:38:28+00:00
7,9.5,keys,1631348022,6,Green Confetti,Bombing Run,451.885,7–9.5 keys,451.89 ref,misc,Level 1-100 Helmet,249,2026-09-11T04:38:28+00:00
10,14,keys,1573936916,6,Green Confetti,Bone Dome,645.55,10–14 keys,645.55 ref,misc,Level 1-100 Helmet,30162,2026-09-11T04:38:28+00:00
170,170,keys,1712761180,6,Green Confetti,Bonk Boy,10974.35,170 keys,"10,974.35 ref",misc,Level 1-100 Mask,451,2026-09-11T04:38:28+00:00
17,17,keys,1750752528,6,Green Confetti,Bonk Helm,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Helmet,106,2026-09-11T04:38:28+00:00
11,11,keys,1517105044,6,Green Confetti,Bootleg Base Metal Billycock,710.105,11 keys,710.11 ref,misc,Level 1-100 Hat,30047,2026-09-11T04:38:28+00:00
10,13,keys,1625846978,6,Green Confetti,Bot Dogger,645.55,10–13 keys,645.55 ref,misc,Level 1-100 Hat,30018,2026-09-11T04:38:28+00:00
11,11,keys,1677775595,6,Green Confetti,Bottle Cap,710.105,11 keys,710.11 ref,misc,Level 1-100 Hat,31042,2026-09-11T04:38:28+00:00
17,17,keys,1746100313,6,Green Confetti,Boxcar Bomber,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,30546,2026-09-11T04:38:28+00:00
13,13,keys,1507315084,6,Green Confetti,Brain Bucket,839.215,13 keys,839.22 ref,misc,Level 1-100 Hat,434,2026-09-11T04:38:28+00:00
16,16,keys,1649775092,6,Green Confetti,Brain Interface,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Cosmetic Augmentation,31049,2026-09-11T04:38:28+00:00
7,7,keys,1787054896,6,Green Confetti,Brain-Warming Wear,451.885,7 keys,451.89 ref,misc,Level 1-100 Hat,30827,2026-09-11T04:38:28+00:00
190,190,keys,1743239743,6,Green Confetti,Brainiac Hairpiece,12265.45,190 keys,"12,265.45 ref",misc,Level 1-100 Facial Hair,590,2026-09-11T04:38:28+00:00
11,11,keys,1540651041,6,Green Confetti,Brass Bucket,710.105,11 keys,710.11 ref,misc,Level 1-100 Helmet,30969,2026-09-11T04:38:28+00:00
17,17,keys,1690579442,6,Green Confetti,Breach and Bomb,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,31113,2026-09-11T04:38:28+00:00
125,125,keys,1665664950,6,Green Confetti,Bread Heads,8069.375,125 keys,"8,069.38 ref",misc,Level 1-100 Hat,31020,2026-09-11T04:38:28+00:00
24,24,keys,1715855273,6,Green Confetti,Brigade Helm,1549.32,24 keys,"1,549.32 ref",misc,Level 1-100 Helmet,105,2026-09-11T04:38:28+00:00
14,14,keys,1714790281,6,Green Confetti,Brim of Fire,903.77,14 keys,903.77 ref,misc,Level 1-100 Hat,31185,2026-09-11T04:38:28+00:00
18,19,keys,1498146813,6,Green Confetti,Brim-Full of Bullets,1161.99,18–19 keys,"1,161.99 ref",misc,Level 1-100 Hat,30173,2026-09-11T04:38:28+00:00
10,10,keys,1746507836,6,Green Confetti,Brimmed Bootlegger,645.55,10 keys,645.55 ref,misc,Level 1-100 Hat,31366,2026-09-11T04:38:28+00:00
11,11,keys,1705001158,6,Green Confetti,Broadband Bonnet,710.105,11 keys,710.11 ref,misc,Level 1-100 Hat,30029,2026-09-11T04:38:28+00:00
29,29,keys,1677404153,6,Green Confetti,Brotherhood of Arms,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Hat,30066,2026-09-11T04:38:28+00:00
25,25,keys,1739524605,6,Green Confetti,Brothers in Blues,1613.875,25 keys,"1,613.88 ref",misc,Level 1-100 Hat,31356,2026-09-11T04:38:28+00:00
21,21,keys,1641381110,6,Green Confetti,Brown Bomber,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Hat,671,2026-09-11T04:38:28+00:00
12,12,keys,1786243990,6,Green Confetti,Bubble Pipe,774.66,12 keys,774.66 ref,misc,Level 1-100 Helmet,597,2026-09-11T04:38:28+00:00
11,11,keys,1593279466,6,Green Confetti,Buccaneer's Bicorne,710.105,11 keys,710.11 ref,misc,Level 10 Hat,607,2026-09-11T04:38:28+00:00
11,11,keys,1695120253,6,Green Confetti,Buckaroo's Hat,710.105,11 keys,710.11 ref,misc,Level 1-100 Hat,322,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1727014795,6,Green Confetti,Bulb Bonnet,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,31335,2026-09-11T04:38:28+00:00
24,24,keys,1672468001,6,Green Confetti,Bumble Beenie,1549.32,24 keys,"1,549.32 ref",misc,Level 1-100 Hat,31085,2026-09-11T04:38:28+00:00
15,15,keys,1768899733,6,Green Confetti,Burning Beanie,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,30936,2026-09-11T04:38:28+00:00
28,28,keys,1742794606,6,Green Confetti,Burning Question,1807.54,28 keys,"1,807.54 ref",misc,Level 1-100 Hat,30987,2026-09-11T04:38:28+00:00
7,7,keys,1581519229,6,Green Confetti,Cadaver's Cranium,451.885,7 keys,451.89 ref,misc,Level 31 Hat,290,2026-09-11T04:38:28+00:00
9.5,10,keys,1609587135,6,Green Confetti,California Cap,613.2725,9.5–10 keys,613.27 ref,misc,Level 1-100 Hat,31117,2026-09-11T04:38:28+00:00
15,15,keys,1440566978,6,Green Confetti,Capo's Capper,968.325,15 keys,968.33 ref,misc,Level 1-100 Hat,427,2026-09-11T04:38:28+00:00
900,900,keys,1621413722,6,Green Confetti,Captain Cardbeard Cutthroat,58099.5,900 keys,"58,099.50 ref",misc,Level 1-100 Hat,30640,2026-09-11T04:38:28+00:00
16,16,keys,1670097163,6,Green Confetti,Caribbean Conqueror,1032.88,16 keys,"1,032.88 ref",misc,Level 1-100 Hat,30116,2026-09-11T04:38:28+00:00
17,17,keys,1706179563,6,Green Confetti,Caribou Companion,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,30974,2026-09-11T04:38:28+00:00
9,9,keys,1633768400,6,Green Confetti,Carouser's Capotain,580.995,9 keys,581.00 ref,misc,Level 1-100 Hat,259,2026-09-11T04:38:28+00:00
175,175,keys,1767728625,6,Green Confetti,Cat's Pajamas,11297.125,175 keys,"11,297.13 ref",misc,Level 1-100 Hood,30937,2026-09-11T04:38:28+00:00
29,29,keys,1758114865,6,Green Confetti,Charmer's Chapeau,1872.095,29 keys,"1,872.10 ref",misc,Level 1-100 Hat,397,2026-09-11T04:38:28+00:00
15,17,keys,1498500843,6,Green Confetti,Chieftain's Challenge,968.325,15–17 keys,968.33 ref,misc,Level 1-100 Hat,250,2026-09-11T04:38:28+00:00
20,20,keys,1703763668,6,Green Confetti,Chill Chullo,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Hat,30748,2026-09-11T04:38:28+00:00
13,14,keys,1750994045,6,Green Confetti,Citizen Cane,839.215,13–14 keys,839.22 ref,misc,Level 1-100 Hat,31091,2026-09-11T04:38:28+00:00
190,190,keys,1727298737,6,Green Confetti,Class Crown,12265.45,190 keys,"12,265.45 ref",misc,Level 1-100 Hat,30808,2026-09-11T04:38:28+00:00
21,21,keys,1691305103,6,Green Confetti,Classy Capper,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Hat,30893,2026-09-11T04:38:28+00:00
12,13,keys,1552254896,6,Green Confetti,Climbing Commander,774.66,12–13 keys,774.66 ref,misc,Level 1-100 Hood,31025,2026-09-11T04:38:28+00:00
31,31,keys,1757486654,6,Green Confetti,Close Quarters Cover,2001.205,31 keys,"2,001.21 ref",misc,Level 1-100 Hair,31378,2026-09-11T04:38:28+00:00
21,26,keys,1529884191,6,Green Confetti,Cloud Crasher,1355.655,21–26 keys,"1,355.66 ref",misc,Level 1-100 Helmet,30071,2026-09-11T04:38:28+00:00
17,17,keys,1750609821,6,Green Confetti,Clue Hairdo,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hair,31425,2026-09-11T04:38:28+00:00
530,625,keys,1725632185,6,Green Confetti,Co-Pilot,34214.15,530–625 keys,"34,214.15 ref",misc,Level 1-100 Hat,30576,2026-09-11T04:38:28+00:00
20,20,keys,1685106267,6,Green Confetti,Cold Killer,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Hat,981,2026-09-11T04:38:28+00:00
23,31,keys,1593849978,6,Green Confetti,Coldfront Commander,1484.765,23–31 keys,"1,484.77 ref",misc,Level 1-100 Hat,30939,2026-09-11T04:38:28+00:00
14,16,keys,1597214198,6,Green Confetti,Coldsnap Cap,903.77,14–16 keys,903.77 ref,misc,Level 1-100 Hat,30542,2026-09-11T04:38:28+00:00
17,17,keys,1529272069,6,Green Confetti,Combustible Kabuto,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,30418,2026-09-11T04:38:28+00:00
9,9,keys,1765014993,6,Green Confetti,Commando Elite,580.995,9 keys,581.00 ref,misc,Level 1-100 Helmet,30912,2026-09-11T04:38:28+00:00
32,32,keys,1496972513,6,Green Confetti,Company Man,2065.76,32 keys,"2,065.76 ref",misc,Level 10 Hat,523,2026-09-11T04:38:28+00:00
17,17,keys,1726775163,6,Green Confetti,Condor Cap,1097.435,17 keys,"1,097.44 ref",misc,Level 1-100 Hat,30553,2026-09-11T04:38:28+00:00
14,14,keys,1622406905,6,Green Confetti,Conjurer's Cowl,903.77,14 keys,903.77 ref,misc,Level 1-100 Hood,465,2026-09-11T04:38:28+00:00
12,12,keys,1605197535,6,Green Confetti,Connoisseur's Cap,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,394,2026-09-11T04:38:28+00:00
20,20,keys,1628324239,6,Green Confetti,Conquistador,1291.1,20 keys,"1,291.10 ref",misc,Level 1-100 Helmet,721,2026-09-11T04:38:28+00:00
9,9,keys,1633852696,6,Green Confetti,Cool Capuchon,580.995,9 keys,581.00 ref,misc,Level 1-100 Hood,31029,2026-09-11T04:38:28+00:00
6.5,6.5,keys,1597979713,6,Green Confetti,Copper's Hard Top,419.6075,6.5 keys,419.61 ref,misc,Level 1-100 Helmet,478,2026-09-11T04:38:28+00:00
30,30,keys,1726903898,6,Green Confetti,Cosa Nostra Cap,1936.65,30 keys,"1,936.65 ref",misc,Level 1-100 Hat,459,2026-09-11T04:38:28+00:00
18,18,keys,1698570235,6,Green Confetti,Cotton Head,1161.99,18 keys,"1,161.99 ref",misc,Level 1-100 Hat,30175,2026-09-11T04:38:28+00:00
11,11,keys,1727554711,6,Green Confetti,Counterfeit Billycock,710.105,11 keys,710.11 ref,misc,Level 10 Hat,602,2026-09-11T04:38:28+00:00
10,10,keys,1651320114,6,Green Confetti,Coupe D'isaster,645.55,10 keys,645.55 ref,misc,Level 1-100 Hair,330,2026-09-11T04:38:28+00:00
9,10,keys,1755073964,6,Green Confetti,Covert Covers,580.995,9–10 keys,581.00 ref,misc,Level 1-100 Hat,31428,2026-09-11T04:38:28+00:00
12,12,keys,1679821699,6,Green Confetti,Cozy Catchers,774.66,12 keys,774.66 ref,misc,Level 1-100 Hat,31250,2026-09-11T04:38:28+00:00
9.5,9.5,keys,1740212836,6,Green Confetti,Crabe de Chapeau,613.2725,9.5 keys,613.27 ref,misc,Level 1-100 Hat,31109,2026-09-11T04:38:28+00:00
8.5,8.5,keys,1636999919,6,Green Confetti,Crack Pot,548.7175,8.5 keys,548.72 ref,misc,Level 1-100 Flower Pot,31024,2026-09-11T04:38:28+00:00
6.5,6.5,keys,1784640743,6,Green Confetti,Crimbo Cap,419.6075,6.5 keys,419.61 ref,misc,Level 1-100 Hat,31505,2026-09-11T04:38:28+00:00
21,21,keys,1643715237,6,Green Confetti,Crit Cloak,1355.655,21 keys,"1,355.66 ref",misc,Level 1-100 Hood,30899,2026-09-11T04:38:28+00:00
11,13,keys,1507231758,6,Green Confetti,Crocleather Slouch,710.105,11–13 keys,710.11 ref,misc,Level 1-100 Hat,344,2026-09-11T04:38:28+00:00
35,38,keys,1703163985,6,Green Confetti,Crone's Dome,2259.425,35–38 keys,"2,259.43 ref",misc,Level 1-100 Hat,920,2026-09-11T04:38:28+00:00
29,30,keys,1785993490,6,Green Confetti,Crown of the Old Kingdom,1872.095,29–30 keys,"1,872.10 ref",misc,Level 1-100 Hat,30567,2026-09-11T04:38:28+00:00
